text
"text:""@verizon @budlight @NFL @amazon Best ads run during a Super Bowl that I can remember.  So creative and exceptionall… https://t.co/oxP1urqFE3"""
"text:""En los anuncios mis favs:\n1- Budlight\n2- Amazon\n3- ASMR \n4- Google\n5- T- Mobile\n6- Mercedes/ Audi\n#SuperBowl #SBxESPN"""
"text:""For the wrap up:\nFootball is lame\nThis year’s #SuperBowlCommercials were a bust\n@amazon for the win on all counts… https://t.co/CW11jX1KZK"""
"text:""4Q #SuperBowl ads:\n\nWinners - @amazon"
"text:""@amazon  and @Microsoft  - my two favorite commercials were yours"
"text:""RT @davemerrill89: Ok @Amazon"
"text:""Ok @Amazon"
"text:""@davemerrill89 @amazon @budlight @mmschocolate @WeatherTech @verizon All garbage."""
"text:""Missing Tide and Amazon. Weak ads except for budlight and Walmart #KelloggBowl #BrandBowl #SuperBowl #admeter @KelloggSchool"""
"text:""@OHAdvertising @budlight @amazon Oooh yes! Can’t wait see if Amazon goes the humorous or inspiring route."""
"text:""@JATetro @budlight @GameOfThrones The best commercial is when @CriminalShow is playing on @amazon - but I am bias"""
"text:""@NewsiesMario Amazon was good! And Avengers!"""
"text:""Big Glove I Know You're The One! Fantasy \u0026amp; Comic t-shirt  https://t.co/V7M1rUtmNc via @amazon #endgame #avengers #infinity"""
"text:""@LetsTodd @PlasticManTalk @SentryIsVoid @LetsVenom @Artemis_Amazon @s_multiple @LetSpidey Do you have access to the… https://t.co/XmwzgsNkDV"""
"text:""For the wrap up:\nFootball is lame\nThis year’s #SuperBowlCommercials were a bust\n@amazon for the win on all counts… https://t.co/CW11jX1KZK"""
"text:""My top 3 fav #SuperBowlAds this year #AmazonAlexa #tmobile #lyft \u0026amp; #audi #superbowl"""
"text:""💕#SuperBowl \n@pepsi \n@TMobile \n@Budweiser \n@amazon \n@verizon \n@mintymobile \n...nobody else was really trying \u0026amp; that… https://t.co/qPrSerKhgB"""
"text:""Best #SuperBowl ads 🌟@TMobile and @amazon"""
"text:""@OlaySkin @TMobile @GameOfThrones @amazon No no no - thank you! Y'all did the work"
"text:""@diggymoreland @TMobile @Audi You didn’t like @pepsi or @amazon"""
"text:""@JohnLegere @Patriots @TMobile No...actually they weren't. The Amazon commercial"
"text:""@AdamJGottschalk @diggymoreland @TMobile @Audi @pepsi @amazon Or the fucking @NFL ??"""
"text:""Shout-out to @amazon and @TMobile for the only entertaining parts of that whole Superbowl."""
"text:""@AmirArison @TMobile @CBS I didn't see many (maybe 4) and loved the Harrison Ford Amazon one"
"text:""@LauraTheRose @TMobile @GameOfThrones @amazon Thank you"
"text:""More decent #SuperBowl ads: @TMobile and @amazon. And of course the @washingtonpost"""
"text:""@Regicidal @amazon The tmobile one was okay. Even if it was just a ripoff of a meme lol\n\nChunky milk probably deser… https://t.co/PdxApTuDW1"""
"text:""@Lindsay_Stein @TMobile @lyft @CampaignLiveUS @Campaignmag Amazon ad was great"""
"text:""@tinacpowell @NFL @amazon @TMobile https://t.co/nbN5TKLNk6"""
"text:""@JarrodUpton @NFL @amazon @TMobile I feel like knitting a sweater right now @JarrodUpton #gotyarn #SuperBowl2019"""
"text:""@CEOJebailey @TMobile I got a year of @pandoramusic  premium for free because of @TMobile. And a $20 Amazon music gift card ."""
"text:""Hulu had the Handmaid Season 3 tease.\nNetflix had animals in April.\nAmazon Prime has the first episode of Hanna.\n\nH… https://t.co/p7vNyvQObc"""
"text:"".@TurkishAirlines wants us to be afraid to fly; @amazonecho wants us to be afraid our dog can order a truckload of… https://t.co/WDtvvgJlW3"""
"text:""@Mando_lines @TurkishAirlines @amazonecho And WeatherTech wants us to drive while texting."""
"text:""Favorite Super Bowl ads:\n1. Washington Post “Knowing Keeps Us Free”-Tom Hanks \n2. Amazon - Harrison Ford “I’m not t… https://t.co/XKzNBTsILR"""
"text:""Best #SuperBowlLIIIcommercials \n\nBud light corn syrup\nBumble\nAmazon dog\nCoke\n\nWorst\ncommercials for foreign cars\nal… https://t.co/ODTdFR1flz"""
"text:""My top 6 #Superbowl ads:\n\n1. @KraftHeinzCo Devour: https://t.co/i4tZu8dz8b\n\n2. @amazon Alexa:… https://t.co/E07HUKtXHl"""
"text:""@amazon Technology fails are the worst. Especially when your skin looks so good your phone doesn’t work.… https://t.co/4o9x3EuVku"""
"text:""RT @OlaySkin: @amazon Technology fails are the worst. Especially when your skin looks so good your phone doesn’t work. #KillerSkin #SBLIII…"""
"text:""@LauraTheRose @TMobile @GameOfThrones @amazon Thank you"
"text:""@amazon Technology fails are the worst. Especially when your skin looks so good your phone doesn’t work.… https://t.co/4o9x3EuVku"""
"text:""RT @OlaySkin: @amazon Technology fails are the worst. Especially when your skin looks so good your phone doesn’t work. #KillerSkin #SBLIII…"""
